disasternumber,totalnumberiaapproved,totalamountihpapproved,totalamounthaapproved,totalamountonaapproved,totalobligatedamountpa,totalobligatedamountcatab,totalobligatedamountcatc2g,totalobligatedamounthmgp,paloaddate,ialoaddate,disasternumber_filled,totalnumberiaapproved_filled,totalamountihpapproved_filled,totalamounthaapproved_filled,totalamountonaapproved_filled,totalobligatedamountpa_filled,totalobligatedamountcatab_filled,totalobligatedamountcatc2g_filled,totalobligatedamounthmgp_filled
2896,,,,,89674.22,17134.5,,0.0,2026-02-06,,2896,0.0,0.0,0.0,0.0,89674.22,17134.5,0.0,0.0
5086,,,,,912000.51,20640.11,,144710.56,2026-02-06,,5086,0.0,0.0,0.0,0.0,912000.51,20640.11,0.0,144710.56
5446,,,,,2774175.81,1801205.99,,519947.92,2026-02-06,,5446,0.0,0.0,0.0,0.0,2774175.81,1801205.99,0.0,519947.92
2413,,,,,,,,,,,2413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5165,,,,,119555.16,24819.02,,0.0,2026-02-06,,5165,0.0,0.0,0.0,0.0,119555.16,24819.02,0.0,0.0
2631,,,,,262646.56,,,0.0,2026-02-06,,2631,0.0,0.0,0.0,0.0,262646.56,0.0,0.0,0.0
5088,,,,,2135746.75,41091.87,,18415.07,2026-02-06,,5088,0.0,0.0,0.0,0.0,2135746.75,41091.87,0.0,18415.07
5407,,,,,32291.96,,,279292.25,2026-02-06,,5407,0.0,0.0,0.0,0.0,32291.96,0.0,0.0,279292.25
2286,,,,,25820.76,25820.76,,,2026-02-06,,2286,0.0,0.0,0.0,0.0,25820.76,25820.76,0.0,0.0
1674,,,,,124357843.32,4764531.32,119436182.08,17408694.0,2026-02-06,,1674,0.0,0.0,0.0,0.0,124357843.32,4764531.32,119436182.08,17408694.0
3162,,,,,3663238.24,3663238.24,,,2026-02-06,,3162,0.0,0.0,0.0,0.0,3663238.24,3663238.24,0.0,0.0
2426,,,,,,,,0.0,,,2426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1295,,,,,38703382.74,17818465.28,20285139.28,9436261.0,2026-02-06,,1295,0.0,0.0,0.0,0.0,38703382.74,17818465.28,20285139.28,9436261.0
